Label,Type,Position x,Position y,Orientation,"Angle in counter-clockwise, 0 = +x; for lenses with flat or coating side, angle refers to flat or coating side; for mirrors, angle refers to reflection side; for PBS, angle 0 is incident from +x and reflected in +y; for waveplates, angle refers to side with marked numbers",Secondary Orientation/Angle,"Second orientation is concerned with rotation in the xz or yz plane, with angle still positive in counter-clockwise direction. Angles for waveplates is the rotation of the mount as denoted by the angle mark at the top of the the waveplate",Size,Wavelength(s),Type,Part Number,Price
O-79.1,PBS,16,17.5,45,,,,,Cs MOT,,,
O-79.2,waveplate,15.5,18,135,,337,,,Cs MOT,,,
O-80,50-50 beam splitter,0.5,18,50,,,,,OTOP,,,
O-81,mirror,4,19,160,,,,,OTOP,,,
O-82,mirror,9,18,-90,,,,,"Li EOM, Li H Imaging",,,
O-83,iris,12.5,18.5,135,,,,,Li Repump,,,
O-84,PD,17,18.5,-135,,,,,,,,
O-85,mirror,0.5,20.5,-50,,,,,OTOP,,,
O-86,mirror,5,20,135,,,,,OTOP,,,
O-87,mirror,7,21,80,,,,,Cs H Imaging,,,
O-88,iris,10,19.5,135,,,,,Cs H Imaging,,,
O-89,OTOP monitor camera,2.5,21,-50,,,,,OTOP,,,
O-90,mirror,6,22.5,-60,,,,,,,,
O-91,dichroic mirror,8.5,22.5,0,,,,,"Cs H Imaging, Li Repump",,,
O-92,lens,4.5,25,97.1,,,,,OTOP,,,
O-93,mirror,6,23.5,-60,,,,,Cs H Imaging,,,
O-94.1,chamber port,24,16,-90,,,,,,,,
O-94.2,chamber port,21,25,-135,,,,,"Cs H Imaging, Li Repump, Li EOM, Li H Imaging, Cs V Optical Pump, RSC",,,
O-94.3,chamber port,20,28,180,,,,,"Dual Color, BFL, OTOP",,,
O-94.4,chamber port,21,31,135,,,,,"Cs H Imaging, Li Repump, Cs V Optical Pump, RSC",,,
O-94.5,chamber port,28,28,0,,,,,"Dual Color, BFL, OTOP",,,
O-94.6,chamber port,27,31,45,,,,,"Li Repump, Cs V Optical Pump, RSC",,,
O-94.7,chamber port,34,18,-45,,,,,"Li Repump, Cs (H) Optical Pump",,,
O-94.8,chamber port,35,20,0,,,,,,,,
O-94.9,chamber port,34,22,45,,,,,,,,
O-95,empty,,,,,,,,,,,
O-96,dump ,1.5,28,0,,,,,OTOP,,,
O-97,mirror,4,28,-40,,,,,OTOP,,,
O-98,mirror,3.5,31,0,,,,,Cs MOT,,,
O-99,mirror,3.5,33,0,,,,,Li Repump,,,
O-100,lens,1.5,34.9,6.3,,,,,"Cs V Optical Pump, RSC",,,
O-101,dichroic mirror,2.5,38,-30,,,,,,,,
O-102,mirror,0,38,-45,,,,,,,,
O-103,quadrant detector sensor head,12,32.5,160,,,,,,,,
O-104,mirror,15,34,-135,,,,,,,,
O-105,mirror,17,34,5,,,,,"Cs V Optical Pump, RSC",,,
O-106,lens,18,32,-135,,,,,"Cs H Imaging, Li Repump",,,
O-107,mirror,19,33,-90,,,,,"Cs H Imaging, Li Repump",,,
O-108,lens,11,35.75,6.1,,,,,"Cs V Optical Pump, RSC",,,
O-109,mirror,13.5,36,140,,,,,"Cs V Optical Pump, RSC",,,
O-110,RSC laser,5,38.9,0,,,,,,,,
O-111,PBS,7,39,0,,,,,RSC,,,
O-112,waveplate,9,39,180,,118,,,RSC,,,
O-113,iris,15.5,37.5,90,,,,,"Cs V Optical Pump, RSC",,,
O-114.1,PBS,13.5,39,0,,,,,"Cs V Optical Pump, RSC",,,
O-114.2,waveplate,14,39,0,,310,,,"Cs V Optical Pump, RSC",,,
O-115,waveplate,18,39,180,,240,,,"Cs V Optical Pump, RSC",,,
O-116,laser,5,41,0,,,,,,,,
O-117,iris,11,41,180,,,,,"Cs V Optical Pump, RSC",,,
O-118,waveplate,12,41,180,,72,,,"Cs V Optical Pump, RSC",,,
O-119,quadrant mirror,13.5,41,-135,,,,,"Cs V Optical Pump, RSC",,,
O-120,quadrant mirror,15.5,41,-45,,,,,,,,
O-121,mirror,20,39,-150,,,,,"Cs V Optical Pump, RSC",,,
O-122,waveplate,44.5,19.5,-90,,46,,,BFL,,,
O-123,waveplate,38,19,45,,102,,,Cs (H) Optical Pump,,,
O-124,waveplate,39.5,21.5,-45,,269???,,,Cs (H) Optical Pump,,,
O-125,PBS,39.5,20.5,135,,rotated 90 on mount,,,Cs (H) Optical Pump,,,
O-126,PBS,40,21,-45,,,,,Cs (H) Optical Pump,,,
O-127,Cs Optical Pump,37,24,-45,,,,,,,,
O-128,dump,41,22.5,90,,,,,OTOP,,,
O-129,dichroic mirror,43,24,125,,,,,Dual Color,,,
O-130,BFL AOM,47,24,90,,,,,BFL,,,
O-131,mirror,38.5,25.5,7,,,,,Dual Color,,,
O-132,Big Reg Chamber,,,,,,,,,,,
O-133,lens,47,26.5,90,,,,,BFL,,,
O-134,flat lens-like PBS,44.5,27.5,-135,,,,,BFL,,,
O-135,PBS,41,28,90,,,,,"Dual Color, OTOP",,,
O-136,lens,38,28,180,,,,,"Dual Color, OTOP",,,
O-137,3-hole tube,34,28,0,,,,,"Dual Color, BFL, OTOP",,,
O-138,lens tube,47,31.75,90,8 in,,,,BFL,,,
O-139,mirror,44.5,28.5,-135,,,,,BFL,,,
O-140,convex rectangular lens,41,35,90,,,,,OTOP,,,
O-141,lens,47,36,90,,,,,BFL,,,
O-142,lens,43,32.5,90,,,,,Dual Color,,,
O-143,lens tube,45,35,90,2 in,,,,,,,
O-144,lens,43,38,90,,,,,Dual Color,,,
O-145,lens,43,39,90,,,,,Dual Color,,,
O-146,convex rectangular lens,41,38,-90,,,,,OTOP,,,
O-147,small breadboard,,,,,,,,,,,
O-148,Dual Color Laser,43,44,-90,,,,,,,,
O-149,periscope mirror,41,46,-90,,45 downward tilt,,,OTOP,,,
O-150,BFL laser,47,37,-90,,,,,,,,
O-184,lens,18.4,22.55,-135,,,,,"Cs H Imaging, Li MOT, Li Repump, Cs MOT, Li EOM, Li H Imaging",,,
O-185,mirror,15.5,25,35,,,,,"Cs V Optical Pump, RSC",,,
O-186,lens,11,25,45,,,,,"Cs H Imaging, Li Repump",,,
O-187,mount,13,26,60,,,,,,,,
O-188,mirror,20,23.5,105,,,,,"Cs V Optical Pump, RSC",,,
O-189,mirror,17,27.5,25,,45 upward tilt,,,BFL,,,
O-190,mirror,17,28.5,-25,,45 upward tilt,,,BFL,,,
O-231,periscope mirror,-3,34.5,0,,45 downward tilt,,,"Cs V Optical Pump, RSC",,,
O-232,lens,14,29.5,-12,,,,,,,,
O-250,periscope mirror,18,44,-90,,45 downward tilt towards optics table,,,"Li Repump, Cs MOT",,,
O-251,waveplate & polarizer in front of camera,30,34,-135,,?,,,"Li MOT, Li Repump, Cs MOT, Cs V Optical Pump, RSC",,,
O-255,waveplate,13.25,8.75,45,,193,,,Li MOT,1/2 ?,,
O-257,mirror,13,28,0,,45 upward tilt,,,"Dual Color, OTOP",,,
O-258,PBS,13,28,0,on raised small breadboard,90 rotation so reflected is facing upward,,,,,,
O-259,lens,12,28,180,on raised small breadboard,,,,,,,
O-260,dump ,10,28,0,on raised small breadboard,,,,,,,
O-261,dump ,11,26,90,on raised small breadboard,,,,,,,
O-262,dichroic mirror,11,28,-135,on raised small breadboard,,,,,,,
O-263,PD,11,31,-90,on raised small breadboard,,,,,,,
O-265,water-cooled beam dump,47,11,0,12 in. above breadboard,90 downward tilt,,,BFL,,,
O-266,mirror,43.5,28,-165,,,,,Dual Color,,,
O-277,camera,1.5,28,0,5.5 in. above breadboard,,,,,,,
O-278,small breadboard,"7.5, 13, 7.5","32, 25.5, 25.5",,6 in. above breadboard,,,,,,,
O-279,monitor camera,10.5,30,-12,,,,,,,,
O-280,post,18,25,,,,,,,,,
O-281,post,19,31,,,,,,,,,
O-282,post,29,31,,,,,,,,,
O-283,post,29,26,,,,,,,,,
O-284,post,32,26,,,,,,,,,
O-285,post,32,33,,,,,,,,,
O-286,post,29,16,,,,,,,,,
O-287,waveplate,30,35.25,-132,,180,,,,,,
O-288,mirror,31.5,37,-132,,,,,,,,
O-296,water-cooled beam dump,17,28,0,6 in. above breadboard,90 downward tilt,,,"Dual Color, OTOP",,,
O-297,water-cooled beam dump,13,28,0,above O-258 PBS,90 downward tilt,,,,,,
O-298,PBS,15.5,39,0,,,,,"Cs V Optical Pump, RSC",,,
O-299,waveplate,20.4,24,50,,65/245,,,"Cs V Optical Pump, RSC",,,
O-300,PD,3,28,0,9. in above breadboard,90 downward tilt,,,,,,
O-301,lens,3,28,0,7.5 in. above breadboard,90 downward tilt,,,,,,
O-302,PBS,3,28,0,5.5 in. above breadboard,90 rotation so reflected is facing upward,,,,,,
